Period,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
01-31,17.413029430606,14.926122860198,11.877889959863,28.580746046026,16.176553989302,35.033192485782,50.749524815877,59.476502517267,92.575647900629,44.212620622892,37.363249429743,10.245337728406,154.18722109964,22.027788620807,31.800298078009,20.640123327404,11.733379212508,159.59252454609,18.746461576097,11.138542121184,195.31344608821,63.115386968302,23.069303239998,71.213088756588,44.153071713278,13.591500931598,37.336351747716,41.187182920199,26.936168371701,69.051235012298,12.919143199244,13.623597598245,35.392924177562,10.794302825387,7.6869002105496,93.071776824302,19.847039444565,64.721112931705,20.293722524034,121.89506043779,43.436582711402,35.742798519811,19.439624507038,
02-28,18.359170195397,17.087702349399,81.752812097428,8.1539123575738,104.23084200595,8.4277132764776,22.626046521613,14.259685469688,20.641935242321,50.63143482073,10.233480542771,30.750251203902,81.442428053186,50.729057688071,63.955682208014,52.956914493209,7.7974514995061,128.12156586884,8.3743598768897,7.164182813455,14.251331583659,24.490850874718,25.341060593788,64.297040336014,20.501274802837,28.135050143249,62.741666126928,33.570440193609,23.46921129159,56.873809150263,56.436300667296,20.385783386907,13.703444783907,73.968975970762,35.16913729458,23.780145288021,26.224777554451,19.932260807524,22.802407786863,52.776791987859,51.870299443455,57.056577468764,6.3775911371759,
03-31,139.07586672086,45.417661829198,37.49219816492,24.353914616632,88.883618921591,57.690380120785,75.165850026557,136.37564207036,84.509894540124,186.47727035631,107.06534665155,31.669881448678,31.932910104846,89.137171519394,114.03296135977,116.18952723293,47.457087447795,59.75532415133,171.88228681848,60.532486216227,139.31668565899,96.091352292325,49.385916535398,80.101802928735,108.65971020638,135.33217878409,46.220459317146,205.43840800617,28.249275805426,165.1341489102,93.600156202384,48.931539919698,148.09289547535,118.57464437282,53.629383530853,55.233334851096,38.251369836144,261.24797261556,17.939822118502,191.65249051574,37.592637688387,34.012300815988,88.157012300965,
04-30,192.13558450252,131.04844593562,89.475271741718,96.420351242174,155.54322540067,234.81852536032,173.49479155845,171.46705531127,177.95394558737,204.21291752808,63.821715956884,226.71767571632,59.007410606763,95.604625333962,88.828898198554,104.34374326341,199.74643237608,119.85610780107,99.04305521106,69.319813340099,103.39782649913,114.11048147864,89.638793647712,168.1243700068,118.25211882896,174.23481492929,109.99428944419,76.234144513827,77.28091005907,89.461975600872,32.914587624191,246.25593255226,213.27638191602,51.409211790477,195.55858667252,161.21433646561,71.875837350399,280.4817998575,103.25198300409,222.09154159871,108.19580695511,104.17257686642,133.55654823898,
05-31,80.886424672012,54.605365240828,24.961306383593,11.165193126219,34.857276204292,92.269849966604,57.822476395817,35.707743354554,79.047292942696,45.733404665129,74.521486553571,40.447277517522,35.21679619965,38.800262097433,47.255044157962,36.207643811246,62.074947687244,120.08954349139,15.753508918505,21.025785112381,27.651288619955,75.211856598212,98.249062640954,35.912483965082,46.842513496318,48.992847373638,31.34121387901,23.815376402131,47.673778771678,70.321605168336,34.655272417542,67.767015947856,21.158016004968,26.120025059856,63.843558334459,51.347116680348,38.125432208582,84.717422297322,31.633995330756,36.559056134596,98.985519601267,28.74133706803,32.17917711312,
06-30,6.8608360845146,7.7041440458162,8.049533504459,4.6780561536762,6.4632295730266,4.8211467036119,23.408810741682,11.393429862016,7.9631366263045,5.1208240585124,8.1122482945733,6.3493093647855,10.350615935461,7.4129932579419,6.868531399923,9.2099526751971,6.6355446622727,22.20138994058,4.3579427593989,6.312295291948,10.97808073311,3.7907471320308,5.8314901500729,3.7565434134598,3.822098098579,3.8250464645683,6.9782102266947,5.5820834203815,9.8614443604828,7.6562003600682,9.3295671434267,9.5359865971491,6.1716907156275,10.794158735681,7.7786088595154,7.6372393122802,6.1629768699619,11.024451446026,15.244151148052,9.6911052380893,3.9720254892999,4.0665048174824,5.5303554968631,
07-31,2.0884329871928,2.82902574387,2.5669809324522,2.454317994997,1.7983115838775,1.7327556260089,2.2162161228505,1.5568657235896,2.1562220661353,1.6067216181586,1.5991035804681,2.6706677208556,1.5062452551321,2.0746248789713,2.2158990606349,1.9326158870197,1.9162513174909,2.5100873707034,1.7992922279006,1.4690817909038,2.9598524734484,1.573656606336,1.3554025776843,1.1114664520778,2.3033619041984,1.3995932420095,2.9291471154977,2.5171438565491,1.4496331828706,1.3686140850081,2.0440874436223,1.6415665435453,1.4778131999023,1.5483504182058,2.7125981366381,1.2023261951217,3.4498889608586,3.0859289436476,4.0157030151245,3.0568693102024,3.9882432822564,1.8428911599267,1.5016890399181,
08-31,4.444288954329,3.1348008745951,3.9514243289934,4.0829786878951,2.7601186992429,3.6361797346291,4.7940816882654,4.0627869945891,5.5277474489618,3.4637144110727,5.2937506361211,3.4723211680744,2.6359630364898,4.0178384583047,4.0991724076846,3.6736018152102,3.3655796712172,3.5538334489714,5.618838184776,2.6887739249155,2.5489777554857,3.2145516432769,5.0465612567063,1.9684657213536,2.3079868984561,3.9989691184768,4.4064514286975,1.8963328161984,1.9597952687149,2.7491932936594,5.1247676115509,4.6606609013064,3.4945878238543,4.1721724111138,2.7265047164674,3.5419322974293,5.3237451428217,5.7095077095302,5.6691687923797,3.1996049381986,3.9292816235323,2.5118332595931,2.1573311825183,
09-30,7.1689524640428,5.6629687033646,2.3863292650128,3.7499383544246,3.2998680948366,2.0388354230434,4.0482089018991,5.2780587908224,4.9860076948261,3.136296163214,2.1767184791835,2.1425011056535,1.8682124224115,3.9007510722952,3.8216187879549,4.0315637720392,1.8269333343979,4.4171206871668,3.1309388331488,3.3300257828219,3.0463929392767,5.0217631439791,4.8322856093129,3.8188101278129,2.3180518831767,4.1383366439359,4.3203374818707,4.3089054134721,1.8393203179042,3.5148581892041,4.1024858877168,2.9818162202835,7.1137072889517,4.1400893828548,2.4024161947534,2.7192167400468,4.2483797141001,4.5438020435631,6.214933375433,6.0026905220625,2.9272181820255,3.0180641430148,5.7695611795146,
10-31,31.110246393697,55.166338529485,16.167273183917,38.850338107812,29.351823717144,42.657759864618,12.795657143525,24.865598772604,27.202081671843,20.655075301853,14.631909926394,14.950900291551,17.893576019876,25.654109979014,32.893167574186,13.351443330616,35.320958735926,11.52616605133,16.325884123051,22.789654541354,19.087693630719,32.268192452573,20.290344533853,30.28366936403,21.367638853932,26.085103938766,14.831237361786,29.026224468109,32.855314047455,21.62568024473,59.284266697769,32.014383918005,15.792011164266,25.006683016331,26.348400622226,17.923977057985,24.568906959067,23.417853102109,103.13210577931,16.207568002254,15.797872178098,16.68877152957,27.58519224292,
