Period,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
01-31,25.020096010091,51.028182360591,39.271158276772,25.506741679445,70.293009543905,28.271140984127,53.916433003484,86.226315984921,22.46285271158,63.911880882419,77.901083829452,24.452979545204,80.89664945797,26.943922548878,28.179957428757,69.096447380222,67.542834320847,167.17043530211,78.308229446411,25.690304571269,147.94835514925,93.349718599903,45.651710588105,97.572736234081,68.394501900186,36.074951629249,73.410029041524,40.804911954062,55.608957757755,61.979664822014,31.631312837406,10.835269071618,59.494181730309,42.693140983582,6.2717547611314,78.363169533866,50.434266888365,21.298932056038,25.329887069001,110.84000622496,67.279954482098,92.148025279142,11.551840188552,
02-28,55.308363388996,79.586513168958,65.705071060025,36.352192401886,88.651877675738,46.288882907556,97.731759168664,72.138251012685,84.001581581271,181.13966058225,60.982037242578,67.664311953953,112.92766781243,36.916940338758,96.730062465278,122.49188750131,7.9891264925198,70.496622513752,14.259080327287,24.729472364698,40.978082248143,43.867225160404,42.588003966273,63.27316066197,55.407171794346,80.524867388667,135.86804923233,66.228676990587,34.194536286957,205.18490258042,38.261758337216,26.019922460829,35.282908789966,82.293894826149,34.640223162515,26.602741990771,155.41710160703,61.035048776743,74.169426402267,80.221492066675,91.174374444144,181.56688022614,23.167613866378,
03-31,319.17249749631,68.707403766866,89.987042329749,37.921893382559,202.21693085651,139.61518291551,173.08205803073,155.48371575803,188.92532216286,230.14312744141,170.6913335372,61.717547027432,94.532393513894,238.99968571566,179.91439523502,215.06065617775,123.68372749796,88.379758601286,254.05511147635,74.202751724087,169.19534940136,203.65679083065,139.45644760132,121.54972426745,145.09335303793,212.70117257566,131.29702315039,157.04556632528,92.160722226513,219.97879370865,193.18287098164,66.700565922017,244.08516459562,141.54403632028,82.658600865578,111.82516502847,106.93025842005,249.37394776636,82.08440321319,352.71686382683,103.31578546641,146.90602403758,246.96231483927,
04-30,332.89240280463,241.8889301845,204.59899661006,239.55064275313,282.94798714774,286.61035311952,174.94508128264,353.33476210614,178.05368991774,257.91095904915,195.66300536175,243.196200001,135.07606950098,222.86105019706,280.32153250247,223.76036523313,328.12954914327,250.65332615132,250.31482151576,165.99720312625,238.80838931337,271.52714149319,245.94243434984,277.10039847238,203.71643113117,320.86958593252,162.8390650068,182.23425464241,280.46539306641,246.57466156629,181.83008871273,340.73932881258,333.26129695347,146.98287671926,315.46979367003,399.94526127407,196.8516069529,382.43249449438,196.2061472523,311.72561116121,368.86424893749,201.32783259178,283.28924685108,
05-31,176.96183449881,326.25347744689,272.54141235352,119.5650963686,224.17579588598,212.83852082856,290.06708168497,169.15917003398,218.99578974198,207.48674587328,338.18650210634,243.14549356577,298.33630293243,307.49722414601,193.32470204879,239.9015485024,165.86850645104,239.70049893126,201.69148725393,226.20590209961,218.28215275979,275.47578305614,282.47553969403,110.6063198946,291.79917098065,233.26740934411,223.21426344891,238.10551958668,202.26923494923,301.9044580265,244.87259323743,289.79356648971,192.33116274464,335.62887993637,304.41830989293,269.23860121746,307.16671955342,353.26334490095,241.65395487571,252.59703406509,305.71195283228,253.46585441122,243.20678710938,
06-30,96.109191193873,167.5086920602,149.92242937672,171.30700115282,127.7136493605,95.866811946947,149.92854044389,129.98073795864,129.15408473112,71.750386101859,152.06537542538,303.98469325474,180.04549493595,159.1098347878,171.61742517899,154.11474967489,173.21813707936,182.11361670981,152.85460787403,136.60809505229,192.39767409344,134.93566910101,213.45946564966,108.84279087612,113.34344280009,169.50392820397,149.68571799142,133.80092216025,105.89790538866,170.08497199234,210.03215898786,252.94485442492,134.9077511223,184.07747735783,211.49120969188,141.31337208651,144.12814626888,208.85556403958,190.98489037339,264.65768339196,146.30606569563,114.15430683992,276.13930371343,
07-31,216.61626870292,161.36361094884,120.38251137247,170.80933520259,237.76058212592,134.49521605823,94.889845595068,229.38686682253,125.59076904764,116.46016802107,127.1490002457,174.2509848147,83.190347943987,191.73679803342,185.25974398243,136.72690636771,110.49140758904,181.21408431384,144.37954291519,157.05771014155,152.26232069366,134.28436396073,164.52059811962,79.743527509728,129.73755217572,130.23270283913,233.34233684929,226.98828716667,103.64909580776,148.57142631375,165.2669651265,158.2213888363,126.98856501677,191.29431572739,137.7448591894,158.18573543004,235.29528917585,173.43644574224,191.03573328135,237.88080768196,113.04654911586,161.05051601176,132.78917561745,
08-31,196.7179350561,198.84504006833,209.56293191715,196.66001362703,191.52364069102,109.08955527325,157.17006122823,268.20084054129,203.6778955265,235.40323732337,173.23493778462,182.38965124013,170.09466490454,170.30507192806,108.87204002847,172.26801050926,182.62962668283,136.7970364629,212.28023591334,168.75443773854,144.18345922353,149.99272163547,260.09516097088,203.33014896938,177.54066000179,141.87006689578,238.43812779018,269.2877788933,168.03922466356,184.24279504893,308.1261705671,221.24030366236,224.81662469981,298.95857970569,86.330989253764,104.1908732823,233.56362837188,144.04786573138,226.12032271405,315.45012773786,251.55743563905,331.57649651352,183.82632882254,
09-30,148.92405132372,127.09566155258,200.13978257471,101.17981299575,146.94818815893,130.83800140692,106.16419414598,229.94537462507,130.84171956899,113.71605993777,117.99403264571,128.81875548071,113.08285678163,104.81256418812,167.08943549954,197.88987770859,28.74009961498,147.00643484933,159.83953818496,134.21201168761,186.09642869599,103.12558022324,141.02249612614,191.88192227422,120.43533146138,194.3588628185,253.37850734166,174.4519590261,214.07095204567,186.86244551989,171.82649822624,315.11871369031,243.38589866794,154.88501451453,189.36867904663,114.75624559364,188.02503064214,93.345852326374,199.43995744355,268.19901104363,221.14637989901,194.71537780762,228.74478055993,
10-31,103.17893608249,201.55701633376,190.97720360269,75.218040232756,88.395785195487,135.70149491758,159.54489482179,152.29386170056,147.80990238579,94.717092747591,186.39337064782,152.56232740441,88.083993717116,102.29133119389,151.12883914247,133.04037140827,169.80586491799,193.81167462407,199.51033222432,155.63146271998,170.24056788853,180.13435745239,103.44200854399,111.80166057665,115.61082668694,129.69305334286,130.66341668732,203.35580031726,123.61230951426,185.71385262937,200.47184574361,212.16064733388,158.25217134125,223.99908221498,221.85427397125,101.84779054291,172.48634571932,176.70516017992,305.21512775032,251.01644430355,152.31133418181,120.96499805061,238.54136603219,
