Period,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
01-31,5.0210270546963,8.0099423653948,6.6053700131628,4.9986494226098,13.81402461497,4.8503755562341,15.588764560949,13.064072848617,15.445633293785,12.918979315086,21.697917637781,5.2942106530473,32.722368352689,5.5386337822317,4.9780145188694,14.30355863323,6.7803721086495,56.823240015477,6.4594752568302,7.4435651342731,17.680722412826,14.953563096111,5.6074835825178,22.575889508539,9.2056585579642,5.0379132681097,7.6407923903279,17.002394318436,10.736893399486,19.132770734143,6.2561646222395,4.0169410248734,13.2769839981,4.7434189932247,5.7848411573908,10.750238571161,7.2627829004075,4.4235041841666,6.7109962644573,20.187513636985,5.8344594068997,17.783146503713,6.5077694390464,
02-28,11.827750706105,9.8628232377631,19.00779546293,6.690219362112,12.759739208337,4.9388093637237,7.1889877377522,7.4501174585913,22.301089754216,48.71790483297,8.3660799111027,11.917499601048,32.322323232468,4.8444009572568,22.573716725299,6.1913995937553,3.510260417799,21.28171030395,5.756046476216,3.543578479164,8.0494742488226,4.4804005558907,4.9632526539948,6.9631919820927,4.9200562651766,11.757986500457,9.4914970321971,5.3951974815782,5.7436479933082,21.789390269091,11.61696976594,5.0331664618199,5.7410588024508,16.496311621783,5.9088406464225,10.044446634352,17.0422291471,16.057851291799,8.8063243240443,12.110596915319,11.722546781249,7.8278736128544,4.753273515054,
03-31,114.54493850486,29.44131334658,9.155141529608,11.238347319356,61.525709526921,41.243792699296,39.996239176293,35.421572218599,52.242499351501,72.265293114413,48.094300267003,27.384330447329,18.465759592606,24.985583388647,51.779665270271,46.922342858039,37.4211577392,29.218613302963,57.077685962814,10.708735159781,48.81271141717,58.883559805196,37.195425098199,44.560913369847,16.511985579245,30.061013823798,29.281692542584,42.682863871385,16.244110889616,83.646436521246,15.400608763862,15.0106780253,88.636775821964,53.861168035436,17.863652426661,17.812425500974,14.165219624709,105.99935932167,23.892564266139,73.785644131161,20.999723841654,20.387098125798,99.603630806083,
04-30,199.00779654567,139.29189898824,74.183538463819,65.731886788307,146.71329279935,104.53335935139,96.931529294007,202.00375099228,89.183882528277,121.13380979097,43.177118912105,78.591934171787,67.318800523234,68.281903990145,101.78879077553,53.541255921498,165.61770023748,63.910563494323,41.232523369376,18.532993754825,89.691365994865,112.05362613704,155.07674831746,110.08876493238,74.07875925228,126.85726459222,84.361839502942,87.493733579567,46.991302807613,57.714837690763,29.430919357248,128.20254683408,162.79930476211,59.655838919532,147.22573614332,140.7143643315,65.691055865671,196.35441975595,74.665096814616,165.19874579217,51.519200270192,88.969821457519,185.10230950975,
05-31,36.322122295377,47.263993719645,24.136393441313,13.078247397693,37.363391949314,10.741668551619,51.279225641511,9.6610047532551,48.959714036355,12.112335346119,32.137600811319,16.902943529781,53.009831586448,31.112931688787,19.737415052412,18.545776737847,18.693873227148,61.331360088716,11.200490976496,12.405406013618,10.773537672494,39.87651373687,51.117446793092,34.633267438522,65.38258593796,23.544571882008,28.140495968663,10.16873887447,25.075763741295,28.033231709599,14.463090757152,43.100002094352,20.241681063545,26.480606384891,26.175513335369,23.994067175584,37.781841315681,37.658226121044,22.83583558832,24.58829373845,44.341044047034,23.124103724115,26.311846104059,
06-30,3.5980221592356,3.3270739319826,3.7017278154322,2.4303682578961,3.354189985363,6.4285216118454,8.9015732305865,5.2480017434401,3.3781716184493,3.1816421149959,4.4962637063812,2.9344018879991,4.8186402685847,4.0764599583138,3.4675185094201,9.1158630472366,3.0925608413168,9.7254022720505,3.2368970619377,2.8713552217033,2.8276378997827,3.2772836417813,3.261466454719,2.9346327194527,3.8891168867883,2.7407136845848,10.795970618508,3.7297631116008,3.6198473922569,3.4792738333014,4.6748455759978,2.6695069053472,3.2157343076861,2.6784484952917,2.944970138903,4.2835761087467,2.5990402112328,6.1765548513031,6.0497677351208,5.1513071769954,2.7311758602257,3.0142041720852,2.9248678093612,
07-31,5.2826117851793,5.3035607591854,8.1428837818982,5.1128724502334,6.1218174643072,5.7069061379031,5.8345064525885,18.946698457207,7.3428119114687,5.3225059622764,9.6386100888108,6.4264632701008,5.1075984834423,9.1081367818614,6.657647900641,8.5578016060502,6.7918581986148,8.5555793350865,8.2087179646948,5.2894816217811,6.5964911922229,5.6608167498667,4.9494768114713,5.1187968879229,7.9787822553062,5.5773690336411,16.023664115032,5.8328838803298,5.0692580441594,7.2909181394035,8.3029397224986,8.3079148831027,9.014829598256,8.2727711565699,5.9453091553595,5.5309914072082,10.712432232486,6.8247761598466,8.4909838296175,10.129680627551,6.2382116420072,5.6157474904612,4.9904606189544,
08-31,4.5073506077628,3.8594809873492,8.3523744757784,3.4224962945329,3.7568772500828,3.8040552511481,4.8444198394024,5.0143413466761,3.7149849104852,3.8255730421613,4.4215421611237,3.6397585531741,3.5475969369876,5.6962152387212,4.4832512374942,4.6822464352608,5.5147052140619,4.5430942437686,3.9974792456136,3.8427748362736,4.8844489834394,3.9055195814566,6.6292217192798,3.7606195375389,4.1195714441025,9.3755270715393,8.5262240275302,4.0213746163767,3.8308914447321,4.2000555657917,4.1806751611301,4.537671005019,3.6511765978614,6.3709360760227,4.1204150318859,3.5075115873815,4.9156161291362,4.4417942503663,4.067360594514,5.8864957980116,3.7182812378801,4.6852112293388,3.5376903826802,
09-30,2.2852621046272,1.9297825821757,3.0994106957681,4.4656695055837,2.0990376599425,1.6310128597253,2.2114586765702,3.1824282112502,3.0504083409815,1.737442855683,1.6455574145765,1.6923885478181,1.4967412651427,4.0812252984503,2.1658729759134,2.3142200388126,1.9654878346657,1.7495260659414,1.6192666126288,1.7725197126328,1.6504605236723,3.1923070775736,1.9395614977372,2.9764081606128,2.0578267093915,2.3002930163568,3.4153338053766,2.3922706235075,1.7936658551973,1.7990760984513,2.4976059076718,2.746939574292,4.8279142080175,1.8176397901237,2.025902113976,1.7616070594072,3.2120801645116,3.6043134754634,2.9402095854114,4.4782329045034,3.409816014384,3.0464385087485,2.1280464260126,
10-31,28.13261970083,80.161155485732,16.142751355717,29.389884402359,24.212238502435,25.168343773625,15.266802968975,32.90957750823,26.200349619332,33.960853847682,23.463095454787,22.342332119709,31.923161552721,56.266469421383,34.849458385735,15.153208596469,119.08303639263,17.591458373514,21.768223222921,16.973026595802,27.948700999242,32.837897962599,19.745421760118,39.790361526273,29.316552250411,83.276692872136,37.516437789133,36.771293654323,47.123884053421,25.798796582097,98.134910221877,61.789614568174,31.409152151308,28.612052881896,33.997820757194,21.547634099269,70.113341404671,35.63230786866,116.72757053159,52.231911873609,19.067547997642,31.166909662092,106.63913134232,
